county_name,lwda_num,dec_2020_claims,nov_2020_claims,dec_2019_claims,dec_to_nov_2020,dec_to_nov_2020_per,dec_to_dec_year_over,dec_to_dec_year_over_per
DeKalb,5,8508,8091,1510,417,0.052,6998,4.634
Dodge,16,182,167,54,15,0.09,128,2.37
Dooly,15,106,80,27,26,0.325,79,2.926
Dougherty,17,1219,996,471,223,0.224,748,1.588
Douglas,7,1973,1797,280,176,0.098,1693,6.046
Early,17,65,53,23,12,0.226,42,1.826
Echols,18,11,8,3,3,0.375,8,2.667
Effingham,20,399,368,123,31,0.084,276,2.244
Elbert,9,233,164,240,69,0.421,-7,-0.029
Emanuel,16,380,214,268,166,0.776,112,0.418
Evans,16,74,73,39,1,0.014,35,0.897
Fannin,1,149,92,75,57,0.62,74,0.987
Fayette,7,1080,1000,141,80,0.08,939,6.66
Floyd,1,1749,990,1099,759,0.767,650,0.591
Forsyth,2,1200,1193,134,7,0.006,1066,7.955
Franklin,2,264,202,166,62,0.307,98,0.59
Fulton,6,12852,12789,2020,63,0.005,10832,5.362
Gilmer,1,253,182,123,71,0.39,130,1.057
Glascock,13,17,6,14,11,1.833,3,0.214
Glynn,20,927,1124,152,-197,-0.175,775,5.099
Gordon,1,1529,702,772,827,1.178,757,0.981
Grady,17,118,109,23,9,0.083,95,4.13
Greene,9,143,146,33,-3,-0.021,110,3.333
Gwinnett,7,7900,7729,1181,171,0.022,6719,5.689
Habersham,2,381,302,536,79,0.262,-155,-0.289
Hall,2,1469,1286,316,183,0.142,1153,3.649
Hancock,13,41,49,36,-8,-0.163,5,0.139
Haralson,1,278,193,79,85,0.44,199,2.519
Harris,14,223,211,88,12,0.057,135,1.534
Hart,2,227,152,174,75,0.493,53,0.305
Heard,8,130,110,38,20,0.182,92,2.421
Henry,7,3164,2755,563,409,0.148,2601,4.62
Houston,11,1386,1099,228,287,0.261,1158,5.079
Irwin,18,120,62,88,58,0.935,32,0.364
Jackson,9,494,493,137,1,0.002,357,2.606
Jasper,9,136,107,30,29,0.271,106,3.533
Jeff Davis,16,89,60,153,29,0.483,-64,-0.418
Jefferson,12,212,111,147,101,0.91,65,0.442
Jenkins,13,88,61,52,27,0.443,36,0.692
Johnson,16,76,61,59,15,0.246,17,0.288
Jones,11,249,151,31,98,0.649,218,7.032
Lamar,8,302,245,76,57,0.233,226,2.974
Lanier,18,57,52,17,5,0.096,40,2.353
Laurens,16,561,545,216,16,0.029,345,1.597
Lee,17,428,336,97,92,0.274,331,3.412
Liberty,20,510,426,82,84,0.197,428,5.22
Lincoln,13,73,49,52,24,0.49,21,0.404
Lumpkin,2,335,207,98,128,0.618,237,2.418
Macon,15,196,134,47,62,0.463,149,3.17
Madison,9,388,303,66,85,0.281,322,4.879
Marion,15,97,64,44,33,0.516,53,1.205
McDuffie,13,372,182,297,190,1.044,75,0.253
McIntosh,20,103,111,21,-8,-0.072,82,3.905
Meriwether,8,255,266,107,-11,-0.041,148,1.383
Miller,17,76,26,18,50,1.923,58,3.222
Mitchell,17,130,114,65,16,0.14,65,1.0
Monroe,11,197,148,92,49,0.331,105,1.141
Montgomery,16,213,116,117,97,0.836,96,0.821
Morgan,9,112,111,48,1,0.009,64,1.333
Murray,1,1339,689,1060,650,0.943,279,0.263
Muscogee,14,3353,2051,1027,1302,0.635,2326,2.265
Newton,9,1101,929,286,172,0.185,815,2.85
Oconee,9,228,172,25,56,0.326,203,8.12
Oglethorpe,9,75,68,19,7,0.103,56,2.947
Paulding,1,1257,1171,262,86,0.073,995,3.798
Peach,11,437,273,68,164,0.601,369,5.426
Pickens,1,230,192,93,38,0.198,137,1.473
Pierce,18,143,148,38,-5,-0.034,105,2.763
Pike,8,180,174,50,6,0.034,130,2.6
Polk,1,711,372,360,339,0.911,351,0.975
Pulaski,11,74,49,22,25,0.51,52,2.364
Putnam,11,155,149,53,6,0.04,102,1.925
Quitman,14,3,7,5,-4,-0.571,-2,-0.4
Rabun,2,87,60,88,27,0.45,-1,-0.011
Randolph,14,113,76,44,37,0.487,69,1.568
Richmond,12,2477,1896,847,581,0.306,1630,1.924
Rockdale,7,1046,1012,266,34,0.034,780,2.932
Schley,15,38,19,15,19,1.0,23,1.533
Screven,20,321,163,206,158,0.969,115,0.558
Seminole,17,84,62,19,22,0.355,65,3.421
Spalding,8,894,691,352,203,0.294,542,1.54
Stephens,2,254,232,185,22,0.095,69,0.373
Stewart,14,44,29,21,15,0.517,23,1.095
Sumter,15,370,280,97,90,0.321,273,2.814
Talbot,14,56,39,42,17,0.436,14,0.333
Taliaferro,13,11,11,8,0,0.0,3,0.375
Tattnall,16,156,89,88,67,0.753,68,0.773
Taylor,15,123,51,61,72,1.412,62,1.016
Telfair,16,146,87,71,59,0.678,75,1.056
Terrell,17,103,52,50,51,0.981,53,1.06
Thomas,17,383,360,31,23,0.064,352,11.36
Tift,18,450,430,125,20,0.047,325,2.6
Toombs,16,563,192,389,371,1.932,174,0.447
Towns,2,101,70,27,31,0.443,74,2.741
Treutlen,16,135,55,67,80,1.455,68,1.015
Turner,18,106,53,33,53,1.0,73,2.212
Twiggs,11,53,57,21,-4,-0.07,32,1.524
Union,2,233,191,53,42,0.22,180,3.396
Upson,8,462,470,175,-8,-0.017,287,1.64
Walker,1,724,415,693,309,0.745,31,0.045
Walton,9,912,771,140,141,0.183,772,5.514
Ware,18,316,299,95,17,0.057,221,2.326
Warren,13,89,58,114,31,0.534,-25,-0.219
Washington,13,151,137,48,14,0.102,103,2.146
Wayne,16,216,252,79,-36,-0.143,137,1.734
Webster,15,23,14,9,9,0.643,14,1.556
Wheeler,16,69,20,49,49,2.45,20,0.408
White,2,293,174,123,119,0.684,170,1.382
Whitfield,1,3899,1937,2273,1962,1.013,1626,0.715
Wilcox,16,51,34,38,17,0.5,13,0.342
Wilkes,13,54,50,68,4,0.08,-14,-0.206
Wilkinson,11,66,50,12,16,0.32,54,4.5
Worth,17,116,101,112,15,0.149,4,0.036
